Property Address,Property Name,Building Class,Star Rating,Energy Star,LEED Certified,Building Status,Number Of Units,Style,RBA,Secondary Type,Market Name,Submarket Name,City,State,Zip,County Name,For Sale Price,For Sale Status,Year Built,Year Renovated,Number Of Stories,$Price/Unit,Cap Rate,Vacancy %,Avg Unit SF,Avg Asking/Unit,Avg Asking/SF,Avg Effective/Unit,Avg Effective/SF,Avg Concessions %,% Studios,% 1-Bed,% 2-Bed,% 3-Bed,% 4-Bed,Rent Type,Affordable Type,Market Segment,Parking Spaces/Unit,Number Of Parking Spaces,Days On Market,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,One Bedroom Asking Rent/Bed,One Bedroom Asking Rent/SF,One Bedroom Asking Rent/Unit,One Bedroom Avg SF,One Bedroom Concessions %,One Bedroom Effective Rent/Bed,One Bedroom Effective Rent/SF,One Bedroom Effective Rent/Unit,One Bedroom Vacancy %,One Bedroom Vacant Units,Two Bedroom Asking Rent/Bed,Two Bedroom Asking Rent/SF,Two Bedroom Asking Rent/Unit,Two Bedroom Avg SF,Two Bedroom Concessions %,Two Bedroom Effective Rent/Bed,Two Bedroom Effective Rent/SF,Two Bedroom Effective Rent/Unit,Two Bedroom Vacancy %,Two Bedroom Vacant Units,Three Bedroom Asking Rent/Bed,Three Bedroom Asking Rent/SF,Three Bedroom Asking Rent/Unit,Three Bedroom Avg SF,Three Bedroom Concessions %,Three Bedroom Effective Rent/Bed,Three Bedroom Effective Rent/SF,Three Bedroom Effective Rent/Unit,Three Bedroom Vacancy %,Three Bedroom Vacant Units,Four Bedroom Asking Rent/Bed,Four Bedroom Asking Rent/SF,Four Bedroom Asking Rent/Unit,Four Bedroom Avg SF,Four Bedroom Concessions %,Four Bedroom Effective Rent/Bed,Four Bedroom Effective Rent/SF,Four Bedroom Effective Rent/Unit,Four Bedroom Vacancy %,Four Bedroom Vacant Units,Longitude,Latitude
444 Archer Dr,,B,3,,,Existing,1,,1220,Apartments,North Carolina East,,Rocky Mount,NC,27801-8701,Edgecombe,,N,2006,,,,,1.9,,,,,,0.00,,,,100.00,,Market,,All,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,,,,,,-77.76581,35.92309
3701 Ashbrook Dr NW,Thornberry Park,B,3,,,Existing,264,Garden,406617,Apartments,North Carolina East,Rocky Mount/Wilson,Wilson,NC,27896,Wilson,,N,2007,,3,,,4.2,"1,150.00","1,508",1.31,"1,508",1.31,0.00,,25.00,50.00,25.00,,Market,,All,,,0,66,132,66,,"1,425",1.68,"1,425",850,0.00,"1,425",1.68,"1,425",4.60,3,719,1.25,"1,437",1150,0.00,719,1.25,"1,437",4.60,6,577,1.19,"1,731",1450,0.00,577,1.19,"1,731",4.60,3,,,,,,,,,,,-77.9648753,35.7492553
1703-1707 Augusta Cir SE,,C,2,,,Existing,10,Garden,8160,Apartments,North Carolina East,,Wilson,NC,27893-6474,Wilson,,N,1987,,1,,,,816.00,390,0.48,389,0.48,0.20,,,100.00,,,Market,,All,,,0,,10,,,,,,,,,,,,,195,0.48,390,816,0.20,194,0.48,389,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.896381,35.70574
1845 Boone St,,C,2,,,Existing,6,Low-Rise,2964,Apartments,North Carolina East,,Rocky Mount,NC,27803-4306,Nash,,N,1950,,2,,,1.9,494.00,258,0.52,257,0.52,0.40,,100.00,,,,Market,,All,2.67,16,0,6,,,,258,0.52,258,494,0.40,257,0.52,257,0.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.8109383,35.9198997
717 Branch St,,B,2,,,Existing,9,Low-Rise,6732,Apartments,North Carolina East,,Rocky Mount,NC,27801-5620,Edgecombe,,N,1980,,1,,,1.9,,,,,,0.00,,66.67,,33.33,,Market,,All,,,0,6,,3,,,,,,,,,,0.00,0,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,,,,,,-77.7920077,35.9329209
1817 Butterfield Ln SE,Gee Corbett Village Apartments,C,2,,,Existing,35,Garden,18235,Apartments,North Carolina East,Rocky Mount/Wilson,Wilson,NC,27893,Wilson,,N,1983,1997,1,,,0.1,,,,,,0.00,,,,,,Market,,All,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.8866943,35.7100404
507 Bynum St N,,C,2,,,Existing,1,,1200,Apartments,North Carolina East,,Wilson,NC,27893-2574,Wilson,,N,1948,,,,,3.2,,,,,,0.00,,,100.00,,,Market,,All,,,0,,1,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.913169,35.738653
421 Cascade Ave,,C,2,,,Existing,8,Low-Rise,5832,Apartments,North Carolina East,,Rocky Mount,NC,27803,Nash,,N,1977,,1,,,1.9,730.00,,,,,0.00,,,100.00,,,Market,,All,1.38,11,0,,8,,,,,,,,,,,,,,,,730,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.81276,35.924844
500 Cascade Ave,,C,2,,,Existing,8,Low-Rise,6216,Apartments,North Carolina East,,Rocky Mount,NC,27803,Nash,,N,1986,,2,,,1.9,,,,,,0.00,,,100.00,,,Market,,All,,,0,,8,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.813208,35.9258645
3802-3818 Chase Rd,Chase Park Apartments,B,3,,,Existing,71,Garden,91235,Apartments,North Carolina East,Rocky Mount/Wilson,Wilson,NC,27896,Wilson,,N,1992,,2,,,0.2,"1,000.00",683,0.68,681,0.68,0.30,,,100.00,,,Market,,All,,,0,,71,,,,,,,,,,,,,342,0.68,683,1000,0.30,341,0.68,681,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.9574561,35.7627002
1625 Clark St,Clark St. apartments,C,2,,,Existing,3,Low-Rise,1950,Apartments,North Carolina East,,Rocky Mount,NC,27801-7500,Edgecombe,,N,1972,,1,,,1.9,,,,,,0.00,,,,,,Market,,All,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.7939605,35.9220486
1002 College Cir,,C,2,,,Existing,1,,780,Apartments,North Carolina East,,Wilson,NC,27893-2554,Wilson,,N,1950,,,,,3.2,,,,,,0.00,,,100.00,,,Market,,All,,,0,,1,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.91539,35.74033
1006 College Cir,,C,2,,,Existing,1,,780,Apartments,North Carolina East,,Wilson,NC,27893-2554,Wilson,,N,1950,,,,,3.2,,,,,,0.00,,,100.00,,,Market,,All,,,0,,1,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.91568,35.74046
3800 Cornerstone Ct,Cornerstone Apartments,B,3,,,Existing,24,Low-Rise,30000,Apartments,North Carolina East,,Rocky Mount,NC,27804-3120,Nash,,N,,,2,,,,"1,027.00",858,0.84,856,0.83,0.30,,,100.00,,,Market,,All,,,0,,24,,,,,,,,,,,,,429,0.84,858,1027,0.30,428,0.83,856,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.8633998,35.9644211
1111-1121 S Crawford St,,C,2,,,Existing,6,Low-Rise,6000,Apartments,North Carolina East,Downtown Wilson,Wilson,NC,27893,Wilson,,N,1955,,1,,,4.6,"1,000.00",,,,,0.00,,,100.00,,,Market,,,,,0,,6,,,,,,,,,,,,,,,,1000,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.9207893,35.7105485
400 Crestview Ave SW,Briarcliff Apartments,C,2,,,Existing,80,Garden,76709,Apartments,North Carolina East,,Wilson,NC,27893-4506,Wilson,,N,1966,,2,,,0.2,916.00,646,0.71,644,0.70,0.30,,,100.00,,,Market,,All,,,0,,80,,,,,,,,,,,,,323,0.71,646,916,0.30,322,0.70,644,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.944391,35.7151679
810 Dale Dr,Hilldale Apartments,C,3,,,Existing,74,,2494,Apartments,North Carolina East,Rocky Mount/Wilson,Rocky Mount,NC,27803,Nash,,N,,,1,,,0.2,750.00,656,0.87,654,0.87,0.30,,,100.00,,,Market,,All,,,0,,74,,,,,,,,,,,,,328,0.87,656,750,0.30,327,0.87,654,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.826926,35.8749577
1025 Deerchase Dr,Hunter Hill,B,3,,,Existing,64,Garden,76800,Apartments,North Carolina East,Rocky Mount/Wilson,Rocky Mount,NC,27804-6442,Nash,,N,,,1,,,0.1,928.00,937,1.01,937,1.01,0.00,,31.25,46.88,21.88,,Market,,All,,,0,20,30,14,,846,1.15,846,738,0.00,846,1.15,846,0.00,0,473,1.02,946,926,0.00,473,1.02,946,0.00,0,349,0.87,"1,047",1203,0.00,349,0.87,"1,047",0.00,0,,,,,,,,,,,-77.83219,35.9829533
1100 Delano Ave SW,,C,3,,,Existing,4,,3419,Apartments,North Carolina East,,Wilson,NC,27893-4734,Wilson,,N,1950,,,,,3.2,932.00,,,,,0.00,,100.00,,,,Market,,All,,,0,4,,,,,,,932,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.9311286,35.7185134
401-419 Exchange Ln,,B,3,,,Existing,9,Low-Rise,3280,Apartments,North Carolina East,,Sharpsburg,NC,27878,Nash,,N,1986,2006,1,,,1.9,820.00,488,0.60,486,0.59,0.40,,,100.00,,,Market,,All,,,0,,9,,,,,,,,,,,,,244,0.60,488,820,0.40,243,0.59,486,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.833371,35.868813
303 Forrest Rd,,C,2,,,Existing,1,,748,Apartments,North Carolina East,Downtown Wilson,Wilson,NC,27893-3511,Wilson,,N,1927,,,,,4.6,,,,,,0.00,,,100.00,,,Market,,All,,,0,,1,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.92946,35.72377
2443 Hurt Dr,Hampton Village,B,3,,,Existing,274,Garden,204130,Apartments,North Carolina East,Rocky Mount/Wilson,Rocky Mount,NC,27804-7976,Nash,,N,1997,2001,2,,,0.1,722.00,716,0.99,714,0.99,0.30,,50.36,49.64,,,Market,,All,0.97,267,0,138,136,,,643,1.04,643,617,0.30,641,1.04,641,0.00,0,395,0.95,790,828,0.30,394,0.95,788,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.8357466,35.9855758
103 Jasmine Dr,Woods at Benvenue,C,2,,,Existing,96,Garden,69120,Apartments,North Carolina East,,Rocky Mount,NC,27804,Nash,,N,1980,,1,,,0.2,615.00,633,1.03,632,1.03,0.30,4.17,78.13,17.71,,,Market,,All,,,0,75,17,,,609,1.06,609,576,0.30,607,1.05,607,0.00,0,371,0.86,742,864,0.30,370,0.86,740,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.8143919,35.9844818
501-507 John J Sharpe St,,C,3,,,Existing,16,Garden,21539,Apartments,North Carolina East,,Sharpsburg,NC,27878,Nash,,N,1992,,1,,,1.9,630.00,,,,,0.00,,,100.00,,,Market,,All,,,0,,16,,,,,,,,,,,,,,,,630,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.8343569,35.8680934
415 Lane St,,C,2,,,Existing,1,,864,Apartments,North Carolina East,Downtown Wilson,Wilson,NC,27893-6327,Wilson,,N,1979,,,,,4.6,,,,,,0.00,,,100.00,,,Market,,All,,,0,,1,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.89987,35.71475
1109 Lee St,,C,2,,,Existing,1,,896,Apartments,North Carolina East,,Wilson,NC,27893-2521,Wilson,,N,1954,,,,,3.2,,,,,,0.00,,,100.00,,,Market,,All,,,0,,1,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.91808,35.73874
600 Leonard St,,C,2,,,Existing,9,Low-Rise,6376,Apartments,North Carolina East,,Rocky Mount,NC,27803-4347,Nash,,N,,,1,,,1.9,,,,,,0.00,,100.00,,,,Market,,All,,,0,9,,,,,,,,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.8099269,35.9202992
316 Lexington St,,C,2,,,Existing,15,Low-Rise,10587,Apartments,North Carolina East,,Rocky Mount,NC,27801,Edgecombe,,N,1978,,1,,,1.9,710.00,412,0.58,411,0.58,0.40,,100.00,,,,Market,,,1.07,16,0,15,,,,412,0.58,412,710,0.40,411,0.58,411,0.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.790636,35.942893
109 Ligustrum Ct,,C,2,,,Existing,20,Low-Rise,14600,Apartments,North Carolina East,,Rocky Mount,NC,27801,Edgecombe,,N,1978,,1,,,3.2,730.00,396,0.54,395,0.54,0.50,,,100.00,,,Market,,All,,,0,,20,,,,,,,,,,,,,198,0.54,396,730,0.50,197,0.54,395,5.00,1,,,,,,,,,,,,,,,,,,,,,-77.7740773,35.9414724
184 Loch Ct,,B,2,,,Existing,8,,7000,Apartments,North Carolina East,,Rocky Mount,NC,27804-9182,Nash,,N,2005,,,,,1.9,,,,,,0.00,,50.00,12.50,37.50,,Market,,All,,,0,4,1,3,,,,,,,,,,0.00,0,,,,,,,,,0.00,0,,,,,,,,,0.00,0,,,,,,,,,,,-77.8329946,35.9874261
150 Moye Ct,Bethlehem Woods Apartments,C,3,,,Existing,88,Garden,85008,Apartments,North Carolina East,,Rocky Mount,NC,27803,Nash,,N,1983,1995,2,,,3.4,885.00,809,0.91,805,0.91,0.50,,,100.00,,,Market,,All,,,0,,88,,,,,,,,,,,,,404,0.91,809,885,0.50,402,0.91,805,3.40,3,,,,,,,,,,,,,,,,,,,,,-77.8610222,35.9405081
600 Nash St NE,,C,2,,,Existing,14,Garden,9355,Apartments,North Carolina East,Downtown Wilson,Wilson,NC,27893,Wilson,,N,1858,,2,,,4.6,,,,,,0.00,,100.00,,,,Market,,All,,12,0,14,,,,,,,,,,,,7.10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.9158488,35.7324607
1101-1107 Par Three Dr S,,C,2,,,Existing,18,,15552,Apartments,North Carolina East,,Wilson,NC,27893-6809,Wilson,,N,,,,,,3.2,864.00,,,,,0.00,,,100.00,,,Market,,All,,,0,,18,,,,,,,,,,,,,,,,864,,,,,5.60,1,,,,,,,,,,,,,,,,,,,,,-77.9430725,35.6900616
505 Park Ave,,C,2,,,Existing,1,,1383,Apartments,North Carolina East,Downtown Wilson,Wilson,NC,27893-3622,Wilson,,N,1940,,,,,4.6,,,,,,0.00,,,,100.00,,Market,,All,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,,,,,,-77.92077,35.72605
913 S Pender St,,C,2,,,Existing,5,Low-Rise,3240,Apartments,North Carolina East,Downtown Wilson,Wilson,NC,27893,Wilson,,N,1967,,1,,,4.6,,,,,,0.00,,100.00,,,,Market,,All,2.00,10,0,5,,,,,,,,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.9057915,35.7101627
105 Photinia Ct,,C,2,,,Existing,32,Garden,37349,Apartments,North Carolina East,,Rocky Mount,NC,27801,Edgecombe,,N,1979,,1,,,1.9,730.00,341,0.47,339,0.46,0.40,,,100.00,,,Market,,All,,,0,,32,,,,,,,,,,,,,170,0.47,341,730,0.40,170,0.46,339,3.10,1,,,,,,,,,,,,,,,,,,,,,-77.7726455,35.9416011
