Class,  Period,Inventory Bldgs,Inventory Units,Inventory Avg SF,Asking Rent Per Unit,Asking Rent Per SF,Asking Rent % Growth/Yr,Effective Rent Per Unit,Effective Rent Per SF,Effective Rent % Growth/Yr,Effective Rent Concessions %,Vacancy Units,Vacancy Percent,Vacancy % Growth/Yr,Occupancy Units,Occupancy Percent,Occupancy % Growth/Yr,Absorption Units,Absorption Percent,Under Construction Bldgs,Under Construction Units,Under Construction Percent,Deliveries Bldgs,Deliveries Units,Deliveries Percent
C,2022 Q1 QTD,52 ,"1,276 ",881 ,$686 ,$0.77 ,9.0% ,$682 ,$0.77 ,8.7% ,0.5% ,62 ,4.9% ,1.5% ,"1,214.0 ",95.1% ,-1.5%,2 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2021 Q4,52 ,"1,276 ",881 ,$673 ,$0.76 ,7.7% ,$670 ,$0.76 ,7.3% ,0.5% ,64 ,5.0% ,1.9% ,"1,212.0 ",95.0% ,-1.9%,17 ,1.3% ,0 ,0 ,0.0% ,1 ,22 ,1.7% 
C,2021 Q3,51 ,"1,254 ",881 ,$654 ,$0.74 ,4.8% ,$651 ,$0.73 ,4.6% ,0.5% ,59 ,4.7% ,1.4% ,"1,195.0 ",95.3% ,-1.4%,(2),-0.2%,1 ,22 ,1.8% ,0 ,0 ,0.0% 
C,2021 Q2,51 ,"1,254 ",881 ,$638 ,$0.72 ,2.4% ,$635 ,$0.72 ,2.4% ,0.5% ,57 ,4.5% ,0.8% ,"1,197.0 ",95.5% ,-0.8%,(12),-1.0%,1 ,22 ,1.8% ,0 ,0 ,0.0% 
C,2021 Q1,51 ,"1,254 ",881 ,$632 ,$0.71 ,1.7% ,$630 ,$0.71 ,1.8% ,0.3% ,45 ,3.6% ,-0.4%,"1,209.0 ",96.4% ,0.4% ,(6),-0.5%,1 ,22 ,1.8% ,0 ,0 ,0.0% 
C,2020 Q4,51 ,"1,254 ",881 ,$626 ,$0.71 ,1.0% ,$624 ,$0.70 ,1.2% ,0.2% ,39 ,3.1% ,-1.4%,"1,215.0 ",96.9% ,1.4% ,2 ,0.2% ,1 ,22 ,1.8% ,0 ,0 ,0.0% 
C,2020 Q3,51 ,"1,254 ",881 ,$624 ,$0.70 ,1.0% ,$622 ,$0.70 ,1.3% ,0.3% ,41 ,3.3% ,-1.6%,"1,213.0 ",96.7% ,1.6% ,6 ,0.5% ,1 ,22 ,1.8% ,0 ,0 ,0.0% 
C,2020 Q2,51 ,"1,254 ",881 ,$623 ,$0.70 ,1.3% ,$620 ,$0.70 ,1.4% ,0.5% ,47 ,3.7% ,-1.4%,"1,207.0 ",96.3% ,1.4% ,3 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2020 Q1,51 ,"1,254 ",881 ,$621 ,$0.70 ,1.5% ,$619 ,$0.70 ,1.6% ,0.4% ,50 ,4.0% ,-1.3%,"1,204.0 ",96.0% ,1.3% ,6 ,0.5% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2019 Q4,51 ,"1,254 ",881 ,$620 ,$0.70 ,2.1% ,$617 ,$0.70 ,2.2% ,0.5% ,56 ,4.5% ,-1.1%,"1,198.0 ",95.5% ,1.1% ,5 ,0.4% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2019 Q3,51 ,"1,254 ",881 ,$618 ,$0.70 ,3.0% ,$614 ,$0.69 ,3.1% ,0.6% ,61 ,4.9% ,-1.0%,"1,193.0 ",95.1% ,1.0% ,4 ,0.3% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2019 Q2,51 ,"1,254 ",881 ,$615 ,$0.69 ,3.8% ,$612 ,$0.69 ,3.9% ,0.6% ,65 ,5.2% ,-1.0%,"1,189.0 ",94.8% ,1.0% ,2 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2019 Q1,51 ,"1,254 ",881 ,$613 ,$0.69 ,4.8% ,$609 ,$0.69 ,4.8% ,0.6% ,67 ,5.3% ,-0.9%,"1,187.0 ",94.7% ,0.9% ,3 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2018 Q4,51 ,"1,254 ",881 ,$607 ,$0.68 ,4.8% ,$603 ,$0.68 ,4.8% ,0.6% ,70 ,5.6% ,-0.7%,"1,184.0 ",94.4% ,0.7% ,4 ,0.3% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2018 Q3,51 ,"1,254 ",881 ,$600 ,$0.68 ,4.5% ,$596 ,$0.67 ,4.5% ,0.6% ,74 ,5.9% ,-0.7%,"1,180.0 ",94.1% ,0.7% ,4 ,0.3% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2018 Q2,51 ,"1,254 ",881 ,$593 ,$0.67 ,4.3% ,$589 ,$0.66 ,4.3% ,0.7% ,77 ,6.2% ,0.2% ,"1,177.0 ",93.8% ,-0.2%,1 ,0.1% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2018 Q1,51 ,"1,254 ",881 ,$585 ,$0.66 ,3.9% ,$581 ,$0.66 ,3.8% ,0.7% ,78 ,6.2% ,0.4% ,"1,176.0 ",93.8% ,-0.4%,1 ,0.1% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2017 Q4,51 ,"1,254 ",881 ,$579 ,$0.65 ,3.7% ,$575 ,$0.65 ,3.7% ,0.7% ,79 ,6.3% ,0.5% ,"1,175.0 ",93.7% ,-0.5%,4 ,0.3% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2017 Q3,51 ,"1,254 ",881 ,$574 ,$0.65 ,3.7% ,$570 ,$0.64 ,3.7% ,0.7% ,83 ,6.6% ,0.8% ,"1,171.0 ",93.4% ,-0.8%,(8),-0.6%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2017 Q2,51 ,"1,254 ",881 ,$569 ,$0.64 ,3.7% ,$565 ,$0.64 ,3.7% ,0.6% ,75 ,6.0% ,0.2% ,"1,179.0 ",94.0% ,-0.2%,(1),-0.1%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2017 Q1,51 ,"1,254 ",881 ,$563 ,$0.63 ,3.7% ,$560 ,$0.63 ,4.2% ,0.6% ,73 ,5.8% ,0.0% ,"1,181.0 ",94.2% ,0.0% ,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2016 Q4,51 ,"1,254 ",881 ,$558 ,$0.63 ,3.8% ,$555 ,$0.63 ,3.9% ,0.6% ,73 ,5.8% ,-0.1%,"1,181.0 ",94.2% ,0.1% ,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2016 Q3,51 ,"1,254 ",881 ,$553 ,$0.62 ,3.5% ,$550 ,$0.62 ,3.5% ,0.6% ,73 ,5.8% ,-0.2%,"1,181.0 ",94.2% ,0.2% ,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2016 Q2,51 ,"1,254 ",881 ,$548 ,$0.62 ,3.0% ,$545 ,$0.61 ,3.0% ,0.6% ,73 ,5.8% ,-0.4%,"1,181.0 ",94.2% ,0.4% ,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2016 Q1,51 ,"1,254 ",881 ,$543 ,$0.61 ,2.4% ,$537 ,$0.61 ,2.0% ,1.0% ,73 ,5.8% ,-0.6%,"1,181.0 ",94.2% ,0.6% ,1 ,0.1% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2015 Q4,51 ,"1,254 ",881 ,$538 ,$0.61 ,1.6% ,$534 ,$0.60 ,1.6% ,0.6% ,74 ,5.9% ,-0.2%,"1,180.0 ",94.1% ,0.2% ,1 ,0.1% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2015 Q3,51 ,"1,254 ",881 ,$535 ,$0.60 ,1.4% ,$531 ,$0.60 ,1.4% ,0.6% ,76 ,6.0% ,0.0% ,"1,178.0 ",94.0% ,0.0% ,2 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2015 Q2,51 ,"1,254 ",881 ,$532 ,$0.60 ,1.3% ,$529 ,$0.60 ,1.3% ,0.6% ,78 ,6.2% ,0.2% ,"1,176.0 ",93.8% ,-0.2%,2 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2015 Q1,51 ,"1,254 ",881 ,$530 ,$0.60 ,1.4% ,$527 ,$0.59 ,1.3% ,0.7% ,80 ,6.4% ,0.4% ,"1,174.0 ",93.6% ,-0.4%,(3),-0.2%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2014 Q4,51 ,"1,254 ",881 ,$529 ,$0.60 ,1.4% ,$526 ,$0.59 ,1.4% ,0.6% ,77 ,6.1% ,-0.1%,"1,177.0 ",93.9% ,0.1% ,(1),-0.1%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2014 Q3,51 ,"1,254 ",881 ,$527 ,$0.59 ,1.3% ,$524 ,$0.59 ,1.3% ,0.6% ,76 ,6.1% ,-0.4%,"1,178.0 ",93.9% ,0.4% ,(1),-0.1%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2014 Q2,51 ,"1,254 ",881 ,$525 ,$0.59 ,0.7% ,$522 ,$0.59 ,0.8% ,0.6% ,75 ,6.0% ,-0.9%,"1,179.0 ",94.0% ,0.9% ,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2014 Q1,51 ,"1,254 ",881 ,$523 ,$0.59 ,0.5% ,$520 ,$0.59 ,0.6% ,0.6% ,75 ,6.0% ,-0.8%,"1,179.0 ",94.0% ,0.8% ,3 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2013 Q4,51 ,"1,254 ",881 ,$522 ,$0.59 ,0.3% ,$519 ,$0.58 ,0.4% ,0.6% ,78 ,6.2% ,-0.9%,"1,176.0 ",93.8% ,0.9% ,4 ,0.3% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2013 Q3,51 ,"1,254 ",881 ,$521 ,$0.59 ,0.5% ,$517 ,$0.58 ,0.6% ,0.7% ,82 ,6.5% ,-0.7%,"1,172.0 ",93.5% ,0.7% ,5 ,0.4% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2013 Q2,51 ,"1,254 ",881 ,$522 ,$0.59 ,1.6% ,$518 ,$0.58 ,1.6% ,0.7% ,86 ,6.9% ,-0.4%,"1,168.0 ",93.1% ,0.4% ,(1),-0.1%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2013 Q1,51 ,"1,254 ",881 ,$520 ,$0.59 ,1.6% ,$517 ,$0.58 ,1.7% ,0.7% ,85 ,6.8% ,-0.8%,"1,169.0 ",93.2% ,0.8% ,4 ,0.3% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2012 Q4,51 ,"1,254 ",881 ,$520 ,$0.59 ,1.9% ,$517 ,$0.58 ,1.9% ,0.7% ,89 ,7.1% ,-0.7%,"1,165.0 ",92.9% ,0.7% ,2 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2012 Q3,51 ,"1,254 ",881 ,$518 ,$0.58 ,1.5% ,$514 ,$0.58 ,1.6% ,0.7% ,91 ,7.3% ,-0.6%,"1,163.0 ",92.7% ,0.6% ,1 ,0.1% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2012 Q2,51 ,"1,254 ",881 ,$514 ,$0.58 ,0.9% ,$510 ,$0.58 ,0.9% ,0.7% ,92 ,7.3% ,-0.6%,"1,162.0 ",92.7% ,0.6% ,3 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2012 Q1,51 ,"1,254 ",881 ,$512 ,$0.58 ,0.9% ,$508 ,$0.57 ,0.9% ,0.7% ,95 ,7.6% ,-0.4%,"1,159.0 ",92.4% ,0.4% ,3 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2011 Q4,51 ,"1,254 ",881 ,$511 ,$0.58 ,0.7% ,$507 ,$0.57 ,0.7% ,0.7% ,98 ,7.8% ,-0.3%,"1,156.0 ",92.2% ,0.3% ,2 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2011 Q3,51 ,"1,254 ",881 ,$510 ,$0.58 ,0.6% ,$506 ,$0.57 ,0.6% ,0.7% ,99 ,7.9% ,-0.4%,"1,155.0 ",92.1% ,0.4% ,1 ,0.1% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2011 Q2,51 ,"1,254 ",881 ,$509 ,$0.57 ,1.0% ,$505 ,$0.57 ,1.0% ,0.7% ,100 ,8.0% ,-0.6%,"1,154.0 ",92.0% ,0.6% ,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2011 Q1,51 ,"1,254 ",881 ,$508 ,$0.57 ,1.1% ,$504 ,$0.57 ,1.2% ,0.7% ,100 ,8.0% ,-0.7%,"1,154.0 ",92.0% ,0.7% ,2 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2010 Q4,51 ,"1,254 ",881 ,$507 ,$0.57 ,0.7% ,$503 ,$0.57 ,0.8% ,0.8% ,102 ,8.1% ,-0.8%,"1,152.0 ",91.9% ,0.8% ,2 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2010 Q3,51 ,"1,254 ",881 ,$507 ,$0.57 ,-0.2%,$503 ,$0.57 ,-0.2%,0.8% ,104 ,8.3% ,-0.8%,"1,150.0 ",91.7% ,0.8% ,3 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2010 Q2,51 ,"1,254 ",881 ,$504 ,$0.57 ,-1.5%,$500 ,$0.56 ,-1.4%,0.8% ,107 ,8.5% ,-0.7%,"1,147.0 ",91.5% ,0.7% ,2 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2010 Q1,51 ,"1,254 ",881 ,$502 ,$0.57 ,-2.8%,$498 ,$0.56 ,-2.8%,0.8% ,109 ,8.7% ,-0.7%,"1,145.0 ",91.3% ,0.7% ,3 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2009 Q4,51 ,"1,254 ",881 ,$504 ,$0.57 ,-3.4%,$499 ,$0.56 ,-3.4%,0.8% ,112 ,8.9% ,-0.6%,"1,142.0 ",91.1% ,0.6% ,3 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2009 Q3,51 ,"1,254 ",881 ,$508 ,$0.57 ,-3.2%,$504 ,$0.57 ,-3.1%,0.8% ,115 ,9.1% ,-0.4%,"1,139.0 ",90.9% ,0.4% ,2 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2009 Q2,51 ,"1,254 ",881 ,$512 ,$0.58 ,-2.8%,$508 ,$0.57 ,-2.8%,0.8% ,117 ,9.3% ,-0.2%,"1,137.0 ",90.7% ,0.2% ,1 ,0.1% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2009 Q1,51 ,"1,254 ",881 ,$517 ,$0.58 ,-2.1%,$512 ,$0.58 ,-2.1%,0.8% ,118 ,9.4% ,0.0% ,"1,136.0 ",90.6% ,0.0% ,2 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2008 Q4,51 ,"1,254 ",881 ,$521 ,$0.59 ,-1.5%,$517 ,$0.58 ,-1.6%,0.8% ,120 ,9.6% ,0.4% ,"1,134.0 ",90.4% ,-0.4%,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2008 Q3,51 ,"1,254 ",881 ,$525 ,$0.59 ,-1.3%,$520 ,$0.59 ,-1.3%,0.8% ,120 ,9.5% ,0.9% ,"1,134.0 ",90.5% ,-0.9%,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2008 Q2,51 ,"1,254 ",881 ,$526 ,$0.59 ,-0.6%,$522 ,$0.59 ,-0.6%,0.8% ,120 ,9.5% ,1.6% ,"1,134.0 ",90.5% ,-1.6%,(2),-0.2%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2008 Q1,51 ,"1,254 ",881 ,$528 ,$0.60 ,1.0% ,$524 ,$0.59 ,0.8% ,0.8% ,118 ,9.4% ,2.2% ,"1,136.0 ",90.6% ,-2.2%,(4),-0.3%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2007 Q4,51 ,"1,254 ",881 ,$530 ,$0.60 ,2.8% ,$525 ,$0.59 ,2.7% ,0.8% ,114 ,9.1% ,2.5% ,"1,140.0 ",90.9% ,-2.5%,(6),-0.5%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2007 Q3,51 ,"1,254 ",881 ,$532 ,$0.60 ,4.9% ,$527 ,$0.59 ,4.8% ,0.8% ,108 ,8.6% ,2.4% ,"1,146.0 ",91.4% ,-2.4%,(8),-0.6%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2007 Q2,51 ,"1,254 ",881 ,$529 ,$0.60 ,6.5% ,$525 ,$0.59 ,6.3% ,0.8% ,100 ,7.9% ,2.1% ,"1,154.0 ",92.1% ,-2.1%,(9),-0.7%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2007 Q1,51 ,"1,254 ",881 ,$523 ,$0.59 ,7.0% ,$519 ,$0.59 ,6.9% ,0.7% ,90 ,7.2% ,1.5% ,"1,164.0 ",92.8% ,-1.5%,(7),-0.6%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2006 Q4,51 ,"1,254 ",881 ,$515 ,$0.58 ,6.5% ,$511 ,$0.58 ,6.4% ,0.7% ,83 ,6.7% ,0.9% ,"1,171.0 ",93.3% ,-0.9%,(6),-0.5%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2006 Q3,51 ,"1,254 ",881 ,$507 ,$0.57 ,4.9% ,$503 ,$0.57 ,4.9% ,0.6% ,77 ,6.2% ,0.3% ,"1,177.0 ",93.8% ,-0.3%,(4),-0.3%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2006 Q2,51 ,"1,254 ",881 ,$497 ,$0.56 ,2.9% ,$494 ,$0.56 ,2.9% ,0.6% ,73 ,5.8% ,-0.2%,"1,181.0 ",94.2% ,0.2% ,(2),-0.2%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2006 Q1,51 ,"1,254 ",881 ,$489 ,$0.55 ,1.8% ,$486 ,$0.55 ,1.8% ,0.6% ,72 ,5.7% ,-0.5%,"1,182.0 ",94.3% ,0.5% ,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2005 Q4,51 ,"1,254 ",881 ,$484 ,$0.55 ,1.2% ,$481 ,$0.54 ,1.2% ,0.6% ,72 ,5.7% ,-0.6%,"1,182.0 ",94.3% ,0.6% ,1 ,0.1% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2005 Q3,51 ,"1,254 ",881 ,$483 ,$0.54 ,1.1% ,$480 ,$0.54 ,1.1% ,0.6% ,73 ,5.8% ,-0.6%,"1,181.0 ",94.2% ,0.6% ,3 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2005 Q2,51 ,"1,254 ",881 ,$483 ,$0.54 ,1.2% ,$480 ,$0.54 ,1.3% ,0.6% ,76 ,6.0% ,-0.4%,"1,178.0 ",94.0% ,0.4% ,2 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2005 Q1,51 ,"1,254 ",881 ,$480 ,$0.54 ,0.7% ,$477 ,$0.54 ,0.7% ,0.6% ,78 ,6.2% ,-0.2%,"1,176.0 ",93.8% ,0.2% ,2 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2004 Q4,51 ,"1,254 ",881 ,$478 ,$0.54 ,0.0% ,$475 ,$0.54 ,0.0% ,0.6% ,80 ,6.4% ,-0.1%,"1,174.0 ",93.6% ,0.1% ,1 ,0.1% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2004 Q3,51 ,"1,254 ",881 ,$478 ,$0.54 ,-0.7%,$475 ,$0.54 ,-0.7%,0.6% ,81 ,6.4% ,0.0% ,"1,173.0 ",93.6% ,0.0% ,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2004 Q2,51 ,"1,254 ",881 ,$477 ,$0.54 ,-1.3%,$474 ,$0.53 ,-1.3%,0.6% ,81 ,6.5% ,0.1% ,"1,173.0 ",93.5% ,-0.1%,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2004 Q1,51 ,"1,254 ",881 ,$477 ,$0.54 ,-1.7%,$474 ,$0.53 ,-1.8%,0.6% ,81 ,6.4% ,0.2% ,"1,173.0 ",93.6% ,-0.2%,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2003 Q4,51 ,"1,254 ",881 ,$478 ,$0.54 ,-2.0%,$475 ,$0.54 ,-2.0%,0.6% ,81 ,6.4% ,0.3% ,"1,173.0 ",93.6% ,-0.3%,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2003 Q3,51 ,"1,254 ",881 ,$481 ,$0.54 ,-2.1%,$478 ,$0.54 ,-2.1%,0.6% ,80 ,6.4% ,0.4% ,"1,174.0 ",93.6% ,-0.4%,(1),-0.1%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2003 Q2,51 ,"1,254 ",881 ,$483 ,$0.54 ,-2.0%,$480 ,$0.54 ,-2.0%,0.6% ,79 ,6.3% ,0.4% ,"1,175.0 ",93.7% ,-0.4%,(1),-0.1%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2003 Q1,51 ,"1,254 ",881 ,$485 ,$0.55 ,-1.8%,$482 ,$0.54 ,-1.8%,0.6% ,78 ,6.2% ,0.4% ,"1,176.0 ",93.8% ,-0.4%,(1),-0.1%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2002 Q4,51 ,"1,254 ",881 ,$488 ,$0.55 ,-1.3%,$485 ,$0.55 ,-1.4%,0.6% ,77 ,6.2% ,0.4% ,"1,177.0 ",93.8% ,-0.4%,(1),-0.1%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2002 Q3,51 ,"1,254 ",881 ,$491 ,$0.55 ,-0.6%,$488 ,$0.55 ,-0.6%,0.6% ,76 ,6.0% ,0.3% ,"1,178.0 ",94.0% ,-0.3%,(1),-0.1%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2002 Q2,51 ,"1,254 ",881 ,$493 ,$0.56 ,0.4% ,$490 ,$0.55 ,0.4% ,0.6% ,74 ,5.9% ,0.2% ,"1,180.0 ",94.1% ,-0.2%,(1),-0.1%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2002 Q1,51 ,"1,254 ",881 ,$494 ,$0.56 ,1.4% ,$491 ,$0.55 ,1.4% ,0.6% ,73 ,5.9% ,0.1% ,"1,181.0 ",94.1% ,-0.1%,(1),-0.1%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2001 Q4,51 ,"1,254 ",881 ,$494 ,$0.56 ,2.3% ,$491 ,$0.55 ,2.3% ,0.6% ,73 ,5.8% ,0.0% ,"1,181.0 ",94.2% ,0.0% ,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2001 Q3,51 ,"1,254 ",881 ,$494 ,$0.56 ,2.9% ,$491 ,$0.55 ,3.0% ,0.6% ,72 ,5.8% ,0.0% ,"1,182.0 ",94.2% ,0.0% ,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2001 Q2,51 ,"1,254 ",881 ,$491 ,$0.55 ,3.3% ,$488 ,$0.55 ,3.3% ,0.6% ,72 ,5.8% ,0.0% ,"1,182.0 ",94.2% ,0.0% ,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2001 Q1,51 ,"1,254 ",881 ,$487 ,$0.55 ,3.4% ,$484 ,$0.55 ,3.4% ,0.6% ,72 ,5.8% ,0.0% ,"1,182.0 ",94.2% ,0.0% ,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2000 Q4,51 ,"1,254 ",881 ,$483 ,$0.54 ,-,$480 ,$0.54 ,-,0.6% ,72 ,5.8% ,-,"1,182.0 ",94.2% ,-,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2000 Q3,51 ,"1,254 ",881 ,$480 ,$0.54 ,-,$477 ,$0.54 ,-,0.6% ,72 ,5.8% ,-,"1,182.0 ",94.2% ,-,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
