Class,  Period,Inventory Bldgs,Inventory Units,Inventory Avg SF,Asking Rent Per Unit,Asking Rent Per SF,Asking Rent % Growth/Yr,Effective Rent Per Unit,Effective Rent Per SF,Effective Rent % Growth/Yr,Effective Rent Concessions %,Vacancy Units,Vacancy Percent,Vacancy % Growth/Yr,Occupancy Units,Occupancy Percent,Occupancy % Growth/Yr,Absorption Units,Absorption Percent,Under Construction Bldgs,Under Construction Units,Under Construction Percent,Deliveries Bldgs,Deliveries Units,Deliveries Percent
C,2000 Q2,51 ,"1,254 ",881 ,$475 ,$0.54 ,-,$472 ,$0.53 ,-,0.6% ,72 ,5.8% ,-,"1,182.0 ",94.2% ,-,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2000 Q1,51 ,"1,254 ",881 ,$471 ,$0.53 ,-,$468 ,$0.53 ,-,0.6% ,72 ,5.7% ,-,"1,182.0 ",94.3% ,-,-,-,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2022 Q1 QTD,26 ,"1,913 ",942 ,$949 ,$1.01 ,7.0% ,$947 ,$1.01 ,6.9% ,0.3% ,26 ,1.3% ,-1.6%,"1,887.0 ",98.7% ,1.6% ,(2),-0.1%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2021 Q4,26 ,"1,913 ",942 ,$945 ,$1.00 ,6.2% ,$942 ,$1.00 ,6.2% ,0.3% ,24 ,1.2% ,-1.7%,"1,889.0 ",98.8% ,1.7% ,(7),-0.4%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2021 Q3,26 ,"1,913 ",942 ,$921 ,$0.98 ,7.3% ,$919 ,$0.98 ,7.3% ,0.2% ,17 ,0.9% ,-1.9%,"1,896.0 ",99.1% ,1.9% ,69 ,3.6% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2021 Q2,26 ,"1,913 ",942 ,$893 ,$0.95 ,7.4% ,$891 ,$0.94 ,7.6% ,0.2% ,86 ,4.5% ,1.0% ,"1,827.0 ",95.5% ,-1.0%,108 ,5.6% ,0 ,0 ,0.0% ,1 ,144 ,7.5% 
A&B,2021 Q1,25 ,"1,769 ",930 ,$887 ,$0.94 ,6.7% ,$885 ,$0.94 ,6.7% ,0.1% ,51 ,2.9% ,-1.1%,"1,718.0 ",97.1% ,1.1% ,2 ,0.1% ,1 ,144 ,8.1% ,0 ,0 ,0.0% 
A&B,2020 Q4,25 ,"1,769 ",930 ,$889 ,$0.94 ,11.9% ,$887 ,$0.94 ,12.4% ,0.2% ,52 ,3.0% ,-1.6%,"1,717.0 ",97.0% ,1.6% ,(3),-0.2%,1 ,144 ,8.1% ,0 ,0 ,0.0% 
A&B,2020 Q3,25 ,"1,769 ",930 ,$858 ,$0.91 ,8.4% ,$857 ,$0.91 ,8.9% ,0.2% ,49 ,2.8% ,-2.0%,"1,720.0 ",97.2% ,2.0% ,13 ,0.7% ,1 ,144 ,8.1% ,0 ,0 ,0.0% 
A&B,2020 Q2,25 ,"1,769 ",930 ,$831 ,$0.88 ,6.4% ,$828 ,$0.88 ,7.5% ,0.3% ,62 ,3.5% ,-1.3%,"1,707.0 ",96.5% ,1.3% ,7 ,0.4% ,1 ,144 ,8.1% ,0 ,0 ,0.0% 
A&B,2020 Q1,25 ,"1,769 ",930 ,$831 ,$0.88 ,6.5% ,$830 ,$0.88 ,7.6% ,0.1% ,69 ,3.9% ,-0.8%,"1,700.0 ",96.1% ,0.8% ,12 ,0.7% ,1 ,144 ,8.1% ,0 ,0 ,0.0% 
A&B,2019 Q4,25 ,"1,769 ",930 ,$795 ,$0.84 ,2.9% ,$789 ,$0.83 ,2.8% ,0.7% ,81 ,4.6% ,-0.1%,"1,688.0 ",95.4% ,0.1% ,3 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2019 Q3,25 ,"1,769 ",930 ,$792 ,$0.84 ,3.0% ,$787 ,$0.83 ,3.0% ,0.6% ,85 ,4.8% ,0.0% ,"1,684.0 ",95.2% ,0.0% ,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2019 Q2,25 ,"1,769 ",930 ,$781 ,$0.82 ,3.4% ,$770 ,$0.81 ,2.6% ,1.4% ,85 ,4.8% ,-0.1%,"1,684.0 ",95.2% ,0.1% ,(2),-0.1%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2019 Q1,25 ,"1,769 ",930 ,$780 ,$0.82 ,5.3% ,$771 ,$0.81 ,4.7% ,1.2% ,83 ,4.7% ,0.0% ,"1,686.0 ",95.3% ,0.0% ,24 ,1.4% ,0 ,0 ,0.0% ,1 ,24 ,1.4% 
A&B,2018 Q4,24 ,"1,745 ",935 ,$773 ,$0.82 ,6.0% ,$768 ,$0.81 ,6.0% ,0.6% ,82 ,4.7% ,0.4% ,"1,663.0 ",95.3% ,-0.4%,1 ,0.1% ,1 ,24 ,1.4% ,0 ,0 ,0.0% 
A&B,2018 Q3,24 ,"1,745 ",935 ,$768 ,$0.81 ,6.5% ,$764 ,$0.81 ,6.7% ,0.5% ,83 ,4.8% ,1.0% ,"1,662.0 ",95.2% ,-1.0%,9 ,0.5% ,1 ,24 ,1.4% ,1 ,8 ,0.5% 
A&B,2018 Q2,23 ,"1,737 ",936 ,$755 ,$0.80 ,6.7% ,$751 ,$0.79 ,6.9% ,0.6% ,84 ,4.8% ,0.9% ,"1,653.0 ",95.2% ,-0.9%,(2),-0.1%,2 ,32 ,1.8% ,0 ,0 ,0.0% 
A&B,2018 Q1,23 ,"1,737 ",936 ,$741 ,$0.78 ,6.3% ,$737 ,$0.78 ,6.4% ,0.6% ,82 ,4.7% ,0.1% ,"1,655.0 ",95.3% ,-0.1%,(7),-0.4%,2 ,32 ,1.8% ,0 ,0 ,0.0% 
A&B,2017 Q4,23 ,"1,737 ",936 ,$729 ,$0.77 ,5.9% ,$725 ,$0.76 ,5.8% ,0.6% ,75 ,4.3% ,0.2% ,"1,662.0 ",95.7% ,-0.2%,(9),-0.5%,2 ,32 ,1.8% ,0 ,0 ,0.0% 
A&B,2017 Q3,23 ,"1,737 ",936 ,$721 ,$0.76 ,5.9% ,$716 ,$0.76 ,5.7% ,0.7% ,66 ,3.8% ,0.6% ,"1,671.0 ",96.2% ,-0.6%,1 ,0.1% ,1 ,8 ,0.5% ,0 ,0 ,0.0% 
A&B,2017 Q2,23 ,"1,737 ",936 ,$708 ,$0.75 ,4.8% ,$702 ,$0.74 ,4.4% ,0.8% ,68 ,3.9% ,1.1% ,"1,669.0 ",96.1% ,-1.1%,12 ,0.7% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2017 Q1,23 ,"1,737 ",936 ,$697 ,$0.73 ,3.9% ,$692 ,$0.73 ,3.9% ,0.7% ,79 ,4.6% ,1.4% ,"1,658.0 ",95.4% ,-1.4%,(8),-0.5%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2016 Q4,23 ,"1,737 ",936 ,$688 ,$0.73 ,3.5% ,$685 ,$0.72 ,3.7% ,0.5% ,71 ,4.1% ,0.4% ,"1,666.0 ",95.9% ,-0.4%,(15),-0.9%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2016 Q3,23 ,"1,737 ",936 ,$681 ,$0.72 ,3.3% ,$678 ,$0.71 ,3.7% ,0.6% ,56 ,3.3% ,-1.1%,"1,681.0 ",96.7% ,1.1% ,(8),-0.5%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2016 Q2,23 ,"1,737 ",936 ,$676 ,$0.71 ,3.4% ,$673 ,$0.71 ,3.6% ,0.4% ,48 ,2.8% ,-2.1%,"1,689.0 ",97.2% ,2.1% ,7 ,0.4% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2016 Q1,23 ,"1,737 ",936 ,$671 ,$0.71 ,3.0% ,$666 ,$0.70 ,3.8% ,0.7% ,55 ,3.2% ,-1.8%,"1,682.0 ",96.8% ,1.8% ,10 ,0.6% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2015 Q4,23 ,"1,737 ",936 ,$665 ,$0.70 ,0.7% ,$660 ,$0.70 ,0.5% ,0.8% ,65 ,3.7% ,-1.7%,"1,672.0 ",96.3% ,1.7% ,10 ,0.6% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2015 Q3,23 ,"1,737 ",936 ,$659 ,$0.70 ,-0.2%,$653 ,$0.69 ,-0.5%,0.9% ,75 ,4.3% ,0.0% ,"1,662.0 ",95.7% ,0.0% ,10 ,0.6% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2015 Q2,23 ,"1,737 ",936 ,$653 ,$0.69 ,2.7% ,$649 ,$0.69 ,2.7% ,0.6% ,84 ,4.9% ,-0.7%,"1,653.0 ",95.1% ,0.7% ,3 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2015 Q1,23 ,"1,737 ",936 ,$651 ,$0.69 ,0.4% ,$642 ,$0.68 ,-0.5%,1.5% ,87 ,5.0% ,0.1% ,"1,650.0 ",95.0% ,-0.1%,7 ,0.4% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2014 Q4,23 ,"1,737 ",936 ,$661 ,$0.70 ,3.0% ,$657 ,$0.69 ,3.0% ,0.6% ,94 ,5.4% ,0.0% ,"1,643.0 ",94.6% ,0.0% ,(20),-1.2%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2014 Q3,23 ,"1,737 ",936 ,$661 ,$0.70 ,3.1% ,$657 ,$0.70 ,3.2% ,0.6% ,74 ,4.3% ,-0.5%,"1,663.0 ",95.7% ,0.5% ,22 ,1.3% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2014 Q2,23 ,"1,737 ",936 ,$636 ,$0.67 ,-0.4%,$632 ,$0.67 ,-0.4%,0.6% ,96 ,5.5% ,-0.3%,"1,641.0 ",94.5% ,0.3% ,(10),-0.6%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2014 Q1,23 ,"1,737 ",936 ,$649 ,$0.68 ,2.6% ,$645 ,$0.68 ,2.6% ,0.6% ,86 ,5.0% ,-0.7%,"1,651.0 ",95.0% ,0.7% ,8 ,0.5% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2013 Q4,23 ,"1,737 ",936 ,$642 ,$0.68 ,1.7% ,$638 ,$0.67 ,1.8% ,0.6% ,94 ,5.4% ,-0.6%,"1,643.0 ",94.6% ,0.6% ,(10),-0.6%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2013 Q3,23 ,"1,737 ",936 ,$641 ,$0.68 ,1.8% ,$637 ,$0.67 ,1.9% ,0.6% ,84 ,4.8% ,-2.3%,"1,653.0 ",95.2% ,2.3% ,18 ,1.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2013 Q2,23 ,"1,737 ",936 ,$639 ,$0.67 ,2.1% ,$635 ,$0.67 ,2.1% ,0.7% ,101 ,5.8% ,-1.1%,"1,636.0 ",94.2% ,1.1% ,(3),-0.2%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2013 Q1,23 ,"1,737 ",936 ,$632 ,$0.67 ,1.3% ,$628 ,$0.66 ,1.3% ,0.6% ,98 ,5.6% ,-1.4%,"1,639.0 ",94.4% ,1.4% ,5 ,0.3% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2012 Q4,23 ,"1,737 ",936 ,$631 ,$0.67 ,1.4% ,$627 ,$0.66 ,1.4% ,0.7% ,103 ,6.0% ,-1.3%,"1,634.0 ",94.0% ,1.3% ,20 ,1.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2012 Q3,23 ,"1,737 ",936 ,$629 ,$0.66 ,1.1% ,$625 ,$0.66 ,1.1% ,0.6% ,123 ,7.1% ,-0.3%,"1,614.0 ",92.9% ,0.3% ,(2),-0.1%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2012 Q2,23 ,"1,737 ",936 ,$626 ,$0.66 ,0.7% ,$622 ,$0.66 ,0.8% ,0.6% ,121 ,7.0% ,-0.4%,"1,616.0 ",93.0% ,0.4% ,2 ,0.1% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2012 Q1,23 ,"1,737 ",936 ,$624 ,$0.66 ,0.9% ,$620 ,$0.65 ,0.9% ,0.6% ,123 ,7.1% ,-0.3%,"1,614.0 ",92.9% ,0.3% ,4 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2011 Q4,23 ,"1,737 ",936 ,$622 ,$0.66 ,0.6% ,$618 ,$0.65 ,0.7% ,0.7% ,127 ,7.3% ,-0.2%,"1,610.0 ",92.7% ,0.2% ,2 ,0.1% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2011 Q3,23 ,"1,737 ",936 ,$622 ,$0.66 ,0.6% ,$618 ,$0.65 ,0.6% ,0.7% ,128 ,7.4% ,-0.3%,"1,609.0 ",92.6% ,0.3% ,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2011 Q2,23 ,"1,737 ",936 ,$621 ,$0.66 ,1.0% ,$617 ,$0.65 ,1.0% ,0.7% ,128 ,7.4% ,-0.6%,"1,609.0 ",92.6% ,0.6% ,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2011 Q1,23 ,"1,737 ",936 ,$619 ,$0.65 ,1.0% ,$615 ,$0.65 ,1.1% ,0.7% ,128 ,7.4% ,-0.8%,"1,609.0 ",92.6% ,0.8% ,2 ,0.1% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2010 Q4,23 ,"1,737 ",936 ,$618 ,$0.65 ,0.7% ,$614 ,$0.65 ,0.7% ,0.7% ,130 ,7.5% ,-0.9%,"1,607.0 ",92.5% ,0.9% ,3 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2010 Q3,23 ,"1,737 ",936 ,$618 ,$0.65 ,-0.3%,$614 ,$0.65 ,-0.2%,0.7% ,134 ,7.7% ,-1.0%,"1,603.0 ",92.3% ,1.0% ,5 ,0.3% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2010 Q2,23 ,"1,737 ",936 ,$615 ,$0.65 ,-1.5%,$611 ,$0.64 ,-1.5%,0.7% ,139 ,8.0% ,-0.9%,"1,598.0 ",92.0% ,0.9% ,4 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2010 Q1,23 ,"1,737 ",936 ,$613 ,$0.65 ,-2.8%,$608 ,$0.64 ,-3.0%,0.7% ,142 ,8.2% ,-0.9%,"1,595.0 ",91.8% ,0.9% ,4 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2009 Q4,23 ,"1,737 ",936 ,$614 ,$0.65 ,-3.4%,$610 ,$0.64 ,-3.2%,0.7% ,147 ,8.4% ,-0.8%,"1,590.0 ",91.6% ,0.8% ,4 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2009 Q3,23 ,"1,737 ",936 ,$620 ,$0.65 ,-3.1%,$615 ,$0.65 ,-2.7%,0.7% ,151 ,8.7% ,-0.6%,"1,586.0 ",91.3% ,0.6% ,4 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2009 Q2,23 ,"1,737 ",936 ,$625 ,$0.66 ,-2.7%,$620 ,$0.65 ,-2.1%,0.7% ,155 ,8.9% ,-0.3%,"1,582.0 ",91.1% ,0.3% ,2 ,0.1% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2009 Q1,23 ,"1,737 ",936 ,$630 ,$0.66 ,-2.1%,$627 ,$0.66 ,-1.4%,0.6% ,157 ,9.0% ,0.0% ,"1,580.0 ",91.0% ,0.0% ,3 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2008 Q4,23 ,"1,737 ",936 ,$636 ,$0.67 ,-1.5%,$630 ,$0.66 ,-1.2%,0.9% ,160 ,9.2% ,0.5% ,"1,577.0 ",90.8% ,-0.5%,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2008 Q3,23 ,"1,737 ",936 ,$640 ,$0.68 ,-1.3%,$632 ,$0.67 ,-1.2%,1.2% ,161 ,9.3% ,1.1% ,"1,576.0 ",90.7% ,-1.1%,(1),-0.1%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2008 Q2,23 ,"1,737 ",936 ,$642 ,$0.68 ,-0.6%,$634 ,$0.67 ,-1.4%,1.3% ,160 ,9.2% ,4.3% ,"1,577.0 ",90.8% ,-4.3%,(3),-0.2%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2008 Q1,23 ,"1,737 ",936 ,$644 ,$0.68 ,0.9% ,$635 ,$0.67 ,0.0% ,1.3% ,157 ,9.0% ,4.8% ,"1,580.0 ",91.0% ,-4.8%,(6),-0.3%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2007 Q4,23 ,"1,737 ",936 ,$646 ,$0.68 ,2.7% ,$638 ,$0.67 ,1.8% ,1.3% ,151 ,8.7% ,4.9% ,"1,586.0 ",91.3% ,-4.9%,(9),-0.5%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2007 Q3,23 ,"1,737 ",936 ,$648 ,$0.68 ,4.8% ,$640 ,$0.68 ,3.9% ,1.3% ,142 ,8.2% ,4.8% ,"1,595.0 ",91.8% ,-4.8%,228 ,13.1% ,0 ,0 ,0.0% ,2 ,300 ,17.3% 
A&B,2007 Q2,21 ,"1,437 ",894 ,$646 ,$0.68 ,6.4% ,$643 ,$0.68 ,6.3% ,0.5% ,71 ,4.9% ,1.9% ,"1,366.0 ",95.1% ,-1.9%,(9),-0.6%,2 ,300 ,20.9% ,0 ,0 ,0.0% 
A&B,2007 Q1,21 ,"1,437 ",894 ,$638 ,$0.67 ,7.0% ,$636 ,$0.67 ,6.9% ,0.4% ,61 ,4.3% ,1.3% ,"1,376.0 ",95.7% ,-1.3%,(7),-0.5%,2 ,300 ,20.9% ,0 ,0 ,0.0% 
A&B,2006 Q4,21 ,"1,437 ",894 ,$629 ,$0.66 ,6.5% ,$626 ,$0.66 ,6.4% ,0.4% ,55 ,3.8% ,0.8% ,"1,382.0 ",96.2% ,-0.8%,(6),-0.4%,2 ,300 ,20.9% ,0 ,0 ,0.0% 
A&B,2006 Q3,21 ,"1,437 ",894 ,$618 ,$0.65 ,4.9% ,$616 ,$0.65 ,5.0% ,0.4% ,48 ,3.4% ,0.3% ,"1,389.0 ",96.6% ,-0.3%,(5),-0.3%,2 ,300 ,20.9% ,0 ,0 ,0.0% 
A&B,2006 Q2,21 ,"1,437 ",894 ,$607 ,$0.64 ,2.9% ,$605 ,$0.64 ,3.1% ,0.4% ,44 ,3.0% ,-0.3%,"1,393.0 ",97.0% ,0.3% ,(2),-0.1%,2 ,300 ,20.9% ,0 ,0 ,0.0% 
A&B,2006 Q1,21 ,"1,437 ",894 ,$597 ,$0.63 ,1.8% ,$594 ,$0.63 ,1.9% ,0.4% ,42 ,2.9% ,-0.6%,"1,395.0 ",97.1% ,0.6% ,1 ,0.1% ,1 ,264 ,18.4% ,1 ,1 ,0.1% 
A&B,2005 Q4,20 ,"1,436 ",894 ,$591 ,$0.62 ,1.2% ,$588 ,$0.62 ,1.3% ,0.4% ,42 ,3.0% ,-0.7%,"1,394.0 ",97.0% ,0.7% ,2 ,0.1% ,2 ,265 ,18.5% ,0 ,0 ,0.0% 
A&B,2005 Q3,20 ,"1,436 ",894 ,$590 ,$0.62 ,1.1% ,$586 ,$0.62 ,1.1% ,0.5% ,44 ,3.1% ,-0.7%,"1,392.0 ",96.9% ,0.7% ,11 ,0.8% ,1 ,1 ,0.1% ,1 ,8 ,0.6% 
A&B,2005 Q2,19 ,"1,428 ",894 ,$590 ,$0.62 ,1.2% ,$587 ,$0.62 ,1.3% ,0.5% ,47 ,3.3% ,-0.5%,"1,381.0 ",96.7% ,0.5% ,3 ,0.2% ,2 ,9 ,0.6% ,0 ,0 ,0.0% 
A&B,2005 Q1,19 ,"1,428 ",894 ,$586 ,$0.62 ,0.7% ,$583 ,$0.62 ,0.7% ,0.5% ,50 ,3.5% ,-0.2%,"1,378.0 ",96.5% ,0.2% ,2 ,0.1% ,2 ,9 ,0.6% ,0 ,0 ,0.0% 
A&B,2004 Q4,19 ,"1,428 ",894 ,$584 ,$0.62 ,0.0% ,$581 ,$0.61 ,0.0% ,0.5% ,52 ,3.7% ,-0.1%,"1,376.0 ",96.3% ,0.1% ,1 ,0.1% ,1 ,8 ,0.6% ,0 ,0 ,0.0% 
A&B,2004 Q3,19 ,"1,428 ",894 ,$583 ,$0.62 ,-0.7%,$580 ,$0.61 ,-0.6%,0.5% ,53 ,3.7% ,0.0% ,"1,375.0 ",96.3% ,0.0% ,0 ,0.0% ,1 ,8 ,0.6% ,0 ,0 ,0.0% 
A&B,2004 Q2,19 ,"1,428 ",894 ,$583 ,$0.61 ,-1.3%,$580 ,$0.61 ,-1.2%,0.5% ,54 ,3.8% ,0.1% ,"1,374.0 ",96.2% ,-0.1%,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2004 Q1,19 ,"1,428 ",894 ,$582 ,$0.61 ,-1.7%,$579 ,$0.61 ,-1.7%,0.5% ,53 ,3.7% ,0.2% ,"1,375.0 ",96.3% ,-0.2%,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2003 Q4,19 ,"1,428 ",894 ,$584 ,$0.62 ,-2.0%,$581 ,$0.61 ,-2.0%,0.5% ,53 ,3.7% ,0.3% ,"1,375.0 ",96.3% ,-0.3%,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2003 Q3,19 ,"1,428 ",894 ,$587 ,$0.62 ,-2.1%,$584 ,$0.62 ,-2.1%,0.5% ,53 ,3.7% ,0.3% ,"1,375.0 ",96.3% ,-0.3%,(1),-0.1%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2003 Q2,19 ,"1,428 ",894 ,$590 ,$0.62 ,-2.0%,$587 ,$0.62 ,-2.0%,0.6% ,52 ,3.6% ,0.4% ,"1,376.0 ",96.4% ,-0.4%,(1),-0.1%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2003 Q1,19 ,"1,428 ",894 ,$592 ,$0.62 ,-1.8%,$589 ,$0.62 ,-1.8%,0.6% ,51 ,3.5% ,0.4% ,"1,377.0 ",96.5% ,-0.4%,(1),-0.1%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2002 Q4,19 ,"1,428 ",894 ,$595 ,$0.63 ,-1.3%,$592 ,$0.62 ,-1.4%,0.5% ,49 ,3.4% ,0.4% ,"1,379.0 ",96.6% ,-0.4%,(1),-0.1%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2002 Q3,19 ,"1,428 ",894 ,$599 ,$0.63 ,-0.6%,$596 ,$0.63 ,-0.6%,0.5% ,48 ,3.3% ,0.3% ,"1,380.0 ",96.7% ,-0.3%,(1),-0.1%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2002 Q2,19 ,"1,428 ",894 ,$602 ,$0.63 ,0.4% ,$599 ,$0.63 ,0.4% ,0.5% ,47 ,3.3% ,0.2% ,"1,381.0 ",96.7% ,-0.2%,45 ,3.2% ,0 ,0 ,0.0% ,1 ,48 ,3.4% 
A&B,2002 Q1,18 ,"1,380 ",894 ,$603 ,$0.64 ,1.4% ,$600 ,$0.63 ,1.5% ,0.5% ,43 ,3.1% ,0.1% ,"1,337.0 ",96.9% ,-0.1%,(1),-0.1%,1 ,48 ,3.5% ,0 ,0 ,0.0% 
A&B,2001 Q4,18 ,"1,380 ",894 ,$603 ,$0.64 ,2.3% ,$600 ,$0.63 ,2.3% ,0.5% ,42 ,3.1% ,0.0% ,"1,338.0 ",96.9% ,0.0% ,0 ,0.0% ,1 ,48 ,3.5% ,0 ,0 ,0.0% 
A&B,2001 Q3,18 ,"1,380 ",894 ,$603 ,$0.64 ,2.9% ,$600 ,$0.63 ,2.9% ,0.5% ,42 ,3.1% ,0.0% ,"1,338.0 ",96.9% ,0.0% ,0 ,0.0% ,1 ,48 ,3.5% ,0 ,0 ,0.0% 
A&B,2001 Q2,18 ,"1,380 ",894 ,$599 ,$0.63 ,3.3% ,$596 ,$0.63 ,3.3% ,0.5% ,42 ,3.0% ,0.0% ,"1,338.0 ",97.0% ,0.0% ,0 ,0.0% ,1 ,48 ,3.5% ,0 ,0 ,0.0% 
A&B,2001 Q1,18 ,"1,380 ",894 ,$595 ,$0.63 ,3.4% ,$591 ,$0.62 ,3.4% ,0.5% ,42 ,3.1% ,0.0% ,"1,338.0 ",96.9% ,0.0% ,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2000 Q4,18 ,"1,380 ",894 ,$590 ,$0.62 ,-,$587 ,$0.62 ,-,0.5% ,42 ,3.1% ,-,"1,338.0 ",96.9% ,-,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2000 Q3,18 ,"1,380 ",894 ,$586 ,$0.62 ,-,$583 ,$0.61 ,-,0.5% ,43 ,3.1% ,-,"1,337.0 ",96.9% ,-,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
A&B,2000 Q2,18 ,"1,380 ",894 ,$580 ,$0.61 ,-,$578 ,$0.61 ,-,0.5% ,43 ,3.1% ,-,"1,337.0 ",96.9% ,-,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
