Variable,Wilson- Market Rate Residential,"Wilson City, NC","Wilson County, NC",North Carolina
2026 Total Population,"190,494","51,776","86,400","11,430,355"
2026 Household Population,"187,157","50,296","84,860","11,153,723"
2021 Total Population,"186,869","50,807","84,582","10,822,111"
2021 Household Population,"183,532","49,328","83,042","10,545,479"
2021 Family Population,"149,602","39,051","67,471","8,465,940"
2021 Population Density (Pop per Square Mile),235.3,"1,632.9",229.7,222.6
2010-2021 Population: Compound Annual Growth Rate,0.33%,0.28%,0.36%,1.13%
2026 Group Quarters Population,"3,337","1,480","1,540","276,632"
2026 Family Population,"152,236","39,715","68,790","8,929,391"
2026 Population Density (Pop per Square Mile),239.9,"1,664.1",234.7,235.1
2021-2026 Population: Compound Annual Growth Rate,0.38%,0.38%,0.43%,1.10%
"2021 Household Income less than $15,000","13,914","4,945","7,465","460,216"
"2021 Household Income $15,000-$24,999","8,989","2,587","4,156","407,168"
"2021 Household Income $25,000-$34,999","7,310","1,922","3,139","408,592"
"2021 Household Income $35,000-$49,999","10,075","2,851","4,518","584,337"
"2021 Household Income $50,000-$74,999","12,637","2,635","4,356","764,416"
"2021 Household Income $75,000-$99,999","7,119","1,577","2,967","540,361"
"2021 Household Income $100,000-$149,999","9,426","2,346","4,254","590,459"
"2021 Household Income $150,000-$199,999","2,577",882,"1,529","238,007"
"2021 Household Income $200,000 or greater","1,503",503,895,"257,437"
2021 Median Household Income,"$43,671","$37,708","$40,118","$56,585"
2021 Average Household Income,"$59,699","$57,404","$60,579","$80,263"
2021 Per Capita Income,"$23,574","$23,059","$23,905","$31,659"
2021 Aggregate Income,"$4,405,241,626","$1,171,565,869","$2,021,903,691","$342,620,760,434"
2021 Aggregate Household Income,"$4,390,864,194","$1,162,313,899","$2,016,000,746","$341,196,915,757"
2021 Households by Income Base,"73,550","20,248","33,279","4,250,993"
"2026 Household Income less than $15,000","12,631","4,668","6,892","413,416"
"2026 Household Income $15,000-$24,999","8,302","2,438","3,943","375,529"
"2026 Household Income $25,000-$34,999","6,793","1,747","2,921","384,167"
"2026 Household Income $35,000-$49,999","9,919","3,006","4,558","574,069"
"2026 Household Income $50,000-$74,999","13,110","2,792","4,399","801,604"
"2026 Household Income $75,000-$99,999","7,866","1,696","3,259","604,382"
"2026 Household Income $100,000-$149,999","11,229","2,617","4,991","715,150"
"2026 Household Income $150,000-$199,999","3,351","1,109","1,993","312,419"
"2026 Household Income $200,000 or greater","1,764",561,"1,038","312,395"
2026 Median Household Income,"$49,672","$41,100","$44,670","$63,294"
2026 Average Household Income,"$67,373","$63,752","$68,446","$90,683"
2026 Per Capita Income,"$26,589","$25,592","$26,998","$35,772"
2026 Aggregate Income,"$5,064,961,016","$1,325,040,639","$2,332,654,373","$408,890,303,215"
2026 Aggregate Household Income,"$5,050,583,584","$1,315,456,251","$2,326,751,428","$407,452,443,641"
2026 Households by Income Base,"74,965","20,634","33,994","4,493,131"
2021 Average Household Income: HHr Age 15-24,"$36,210","$34,760","$35,275","$44,224"
2021 Average Household Income: HHr Age 25-34,"$58,276","$54,585","$57,534","$74,204"
2021 Average Household Income: HHr Age 35-44,"$69,619","$62,800","$70,806","$92,882"
2021 Average Household Income: HHr Age 45-54,"$69,924","$68,516","$71,679","$97,817"
2021 Average Household Income: HHr Age 55-64,"$62,621","$60,828","$63,790","$87,439"
2021 Average Household Income: HHr Age 65-74,"$55,755","$57,405","$57,523","$73,690"
2021 Average Household Income: HHr Age 75+,"$42,432","$42,933","$43,011","$53,881"
"2021 Household Income < $15,000/Householder Age 15-24",794,317,413,"39,940"
"2021 Household Income $15,000-$24,999/Householder Age 15-24",382,134,186,"25,102"
"2021 Household Income $25,000-$34,999/Householder Age 15-24",246,81,120,"25,791"
"2021 Household Income $35,000-$49,999/Householder Age 15-24",365,160,203,"33,539"
"2021 Household Income $50,000-$74,999/Householder Age 15-24",417,120,169,"34,492"
"2021 Household Income $75,000-$99,999/Householder Age 15-24",124,38,57,"14,875"
"2021 Household Income $100,000-$149,999/Householder Age 15-24",96,31,45,"9,406"
"2021 Household Income $150,000-$199,999/Householder Age 15-24",14,6,8,"1,751"
"2021 Household Income $200,000+/Householder Age 15-24",3,3,3,"1,110"
2021 Median Household Income: HHr Age 15-24,"$26,433","$24,358","$25,190","$35,669"
2021 Aggregate Household Income: Householder Age 15-24,"$88,389,655","$30,936,584","$42,471,323","$8,225,997,660"
2021 Households by Income Base: HHr Age 15-24,"2,441",890,"1,204","186,006"
"2021 Household Income < $15,000/Householder Age 25-34","1,913",713,"1,052","69,367"
"2021 Household Income $15,000-$24,999/Householder Age 25-34","1,115",369,548,"56,258"
"2021 Household Income $25,000-$34,999/Householder Age 25-34","1,031",330,473,"65,387"
"2021 Household Income $35,000-$49,999/Householder Age 25-34","1,285",424,636,"96,390"
"2021 Household Income $50,000-$74,999/Householder Age 25-34","1,965",478,732,"129,364"
"2021 Household Income $75,000-$99,999/Householder Age 25-34","1,125",274,488,"94,037"
"2021 Household Income $100,000-$149,999/Householder Age 25-34","1,229",324,578,"90,225"
"2021 Household Income $150,000-$199,999/Householder Age 25-34",365,125,223,"33,595"
"2021 Household Income $200,000+/Householder Age 25-34",130,45,67,"26,324"
2021 Median Household Income: HHr Age 25-34,"$46,120","$38,600","$41,515","$56,197"
2021 Aggregate Household Income: Householder Age 25-34,"$591,968,756","$168,230,805","$275,989,361","$49,044,809,935"
2021 Households by Income Base: HHr Age 25-34,"10,158","3,082","4,797","660,947"
"2021 Household Income < $15,000/Householder Age 35-44","1,806",734,"1,031","59,973"
"2021 Household Income $15,000-$24,999/Householder Age 35-44",933,337,488,"42,680"
"2021 Household Income $25,000-$34,999/Householder Age 35-44",956,279,407,"54,416"
"2021 Household Income $35,000-$49,999/Householder Age 35-44","1,411",443,639,"82,388"
"2021 Household Income $50,000-$74,999/Householder Age 35-44","2,096",415,692,"132,077"
"2021 Household Income $75,000-$99,999/Householder Age 35-44","1,317",282,547,"103,585"
"2021 Household Income $100,000-$149,999/Householder Age 35-44","2,209",535,"1,025","142,693"
"2021 Household Income $150,000-$199,999/Householder Age 35-44",428,131,244,"50,100"
"2021 Household Income $200,000+/Householder Age 35-44",299,87,189,"53,771"
2021 Median Household Income: HHr Age 35-44,"$55,494","$43,054","$51,723","$72,196"
2021 Aggregate Household Income: Householder Age 35-44,"$797,480,753","$203,661,218","$372,579,777","$67,031,567,775"
2021 Households by Income Base: HHr Age 35-44,"11,455","3,243","5,262","721,683"
"2021 Household Income < $15,000/Householder Age 45-54","2,056",704,"1,101","64,826"
"2021 Household Income $15,000-$24,999/Householder Age 45-54","1,087",303,503,"46,650"
"2021 Household Income $25,000-$34,999/Householder Age 45-54",999,285,431,"50,824"
"2021 Household Income $35,000-$49,999/Householder Age 45-54","1,599",471,723,"84,419"
"2021 Household Income $50,000-$74,999/Householder Age 45-54","2,159",411,729,"127,388"
"2021 Household Income $75,000-$99,999/Householder Age 45-54","1,395",273,549,"104,238"
"2021 Household Income $100,000-$149,999/Householder Age 45-54","2,022",503,845,"126,476"
"2021 Household Income $150,000-$199,999/Householder Age 45-54",709,245,425,"62,967"
"2021 Household Income $200,000+/Householder Age 45-54",347,111,204,"66,595"
2021 Median Household Income: HHr Age 45-54,"$53,711","$45,596","$49,917","$73,114"
2021 Aggregate Household Income: Householder Age 45-54,"$865,166,862","$226,514,422","$394,953,406","$71,835,354,747"
2021 Households by Income Base: HHr Age 45-54,"12,373","3,306","5,510","734,383"
"2021 Household Income < $15,000/Householder Age 55-64","2,890",981,"1,547","88,577"
"2021 Household Income $15,000-$24,999/Householder Age 55-64","1,544",415,699,"65,586"
"2021 Household Income $25,000-$34,999/Householder Age 55-64","1,224",274,479,"62,119"
"2021 Household Income $35,000-$49,999/Householder Age 55-64","1,952",511,835,"97,023"
"2021 Household Income $50,000-$74,999/Householder Age 55-64","2,594",463,856,"145,856"
"2021 Household Income $75,000-$99,999/Householder Age 55-64","1,563",320,652,"109,651"
"2021 Household Income $100,000-$149,999/Householder Age 55-64","1,994",455,888,"113,540"
"2021 Household Income $150,000-$199,999/Householder Age 55-64",569,186,347,"48,239"
"2021 Household Income $200,000+/Householder Age 55-64",350,117,196,"60,931"
2021 Median Household Income: HHr Age 55-64,"$47,332","$39,529","$43,327","$61,740"
2021 Aggregate Household Income: Householder Age 55-64,"$919,282,523","$226,402,738","$414,572,083","$69,209,651,787"
2021 Households by Income Base: HHr Age 55-64,"14,680","3,722","6,499","791,522"
"2021 Household Income < $15,000/Householder Age 65-74","2,459",849,"1,323","72,421"
"2021 Household Income $15,000-$24,999/Householder Age 65-74","1,710",450,749,"74,374"
"2021 Household Income $25,000-$34,999/Householder Age 65-74","1,463",314,628,"74,108"
"2021 Household Income $35,000-$49,999/Householder Age 65-74","2,198",446,899,"110,954"
"2021 Household Income $50,000-$74,999/Householder Age 65-74","2,374",451,786,"130,530"
"2021 Household Income $75,000-$99,999/Householder Age 65-74","1,101",278,477,"78,805"
"2021 Household Income $100,000-$149,999/Householder Age 65-74","1,324",354,644,"77,618"
"2021 Household Income $150,000-$199,999/Householder Age 65-74",334,130,184,"29,075"
"2021 Household Income $200,000+/Householder Age 65-74",268,100,169,"35,598"
2021 Median Household Income: HHr Age 65-74,"$40,453","$36,857","$37,928","$51,262"
2021 Aggregate Household Income: Householder Age 65-74,"$737,687,913","$193,568,037","$337,025,051","$50,365,527,869"
2021 Households by Income Base: HHr Age 65-74,"13,231","3,372","5,859","683,483"
"2021 Household Income < $15,000/Householder Age 75+","1,996",646,998,"65,112"
"2021 Household Income $15,000-$24,999/Householder Age 75+","2,218",579,983,"96,518"
"2021 Household Income $25,000-$34,999/Householder Age 75+","1,391",360,601,"75,947"
"2021 Household Income $35,000-$49,999/Householder Age 75+","1,265",397,583,"79,624"
"2021 Household Income $50,000-$74,999/Householder Age 75+","1,032",297,392,"64,709"
"2021 Household Income $75,000-$99,999/Householder Age 75+",494,110,197,"35,170"
"2021 Household Income $100,000-$149,999/Householder Age 75+",552,145,229,"30,501"
"2021 Household Income $150,000-$199,999/Householder Age 75+",158,58,98,"12,280"
"2021 Household Income $200,000+/Householder Age 75+",106,40,67,"13,108"
2021 Median Household Income: HHr Age 75+,"$27,198","$26,977","$26,162","$34,806"
2021 Aggregate Household Income: Householder Age 75+,"$390,887,732","$113,000,094","$178,409,745","$25,484,005,984"
2021 Households by Income Base: HHr Age 75+,"9,212","2,632","4,148","472,969"
2021 Median Age of Householder,55.2,53.8,54.8,52.6
2021 Households by Income Base: HHr Age 55+,"37,123","9,726","16,506","1,947,974"
2021 Median Household Income: HHr Age 55+,"$38,620","$34,932","$36,171","$50,569"
2021 Average Household Income: HHr Age 55+,"$55,164","$54,799","$56,344","$74,467"
2021 Households by Income Base: HHr Age 65+,"22,443","6,004","10,007","1,156,452"
2021 Median Household Income: HHr Age 65+,"$34,928","$31,495","$32,201","$43,201"
2021 Average Household Income: HHr Age 65+,"$50,286","$51,061","$51,507","$65,588"
"2026 Household Income < $15,000/Householder Age 15-24",752,305,394,"38,211"
"2026 Household Income $15,000-$24,999/Householder Age 15-24",347,122,171,"24,066"
"2026 Household Income $25,000-$34,999/Householder Age 15-24",218,71,104,"25,121"
"2026 Household Income $35,000-$49,999/Householder Age 15-24",368,168,212,"34,738"
"2026 Household Income $50,000-$74,999/Householder Age 15-24",482,137,192,"40,293"
"2026 Household Income $75,000-$99,999/Householder Age 15-24",140,42,63,"18,036"
"2026 Household Income $100,000-$149,999/Householder Age 15-24",110,34,51,"12,400"
"2026 Household Income $150,000-$199,999/Householder Age 15-24",19,9,12,"2,522"
"2026 Household Income $200,000+/Householder Age 15-24",3,3,3,"1,420"
2026 Median Household Income: HHr Age 15-24,"$29,887","$27,148","$27,902","$38,642"
2026 Average Household Income: HHr Age 15-24,"$40,227","$38,184","$39,055","$49,785"
2026 Aggregate Household Income: Householder Age 15-24,"$98,113,552","$34,021,914","$46,943,535","$9,798,035,653"
2026 Households by Income Base: HHr Age 15-24,"2,439",891,"1,202","196,807"
"2026 Household Income < $15,000/Householder Age 25-34","1,553",628,877,"56,160"
"2026 Household Income $15,000-$24,999/Householder Age 25-34",912,332,475,"46,381"
"2026 Household Income $25,000-$34,999/Householder Age 25-34",843,277,387,"56,332"
"2026 Household Income $35,000-$49,999/Householder Age 25-34","1,197",446,628,"89,214"
"2026 Household Income $50,000-$74,999/Householder Age 25-34","1,904",495,710,"129,330"
"2026 Household Income $75,000-$99,999/Householder Age 25-34","1,159",307,518,"102,194"
"2026 Household Income $100,000-$149,999/Householder Age 25-34","1,404",394,678,"109,723"
"2026 Household Income $150,000-$199,999/Householder Age 25-34",448,163,290,"45,393"
"2026 Household Income $200,000+/Householder Age 25-34",124,47,63,"32,375"
2026 Median Household Income: HHr Age 25-34,"$52,381","$44,274","$48,312","$64,238"
2026 Average Household Income: HHr Age 25-34,"$65,954","$62,316","$65,647","$85,763"
2026 Aggregate Household Income: Householder Age 25-34,"$629,462,110","$192,494,716","$303,681,442","$57,212,692,129"
2026 Households by Income Base: HHr Age 25-34,"9,544","3,089","4,626","667,102"
"2026 Household Income < $15,000/Householder Age 35-44","1,658",705,964,"53,368"
"2026 Household Income $15,000-$24,999/Householder Age 35-44",836,321,463,"37,236"
"2026 Household Income $25,000-$34,999/Householder Age 35-44",867,259,373,"49,428"
"2026 Household Income $35,000-$49,999/Householder Age 35-44","1,378",467,645,"78,712"
"2026 Household Income $50,000-$74,999/Householder Age 35-44","2,148",448,702,"135,471"
"2026 Household Income $75,000-$99,999/Householder Age 35-44","1,473",315,620,"114,849"
"2026 Household Income $100,000-$149,999/Householder Age 35-44","2,584",594,"1,199","169,922"
"2026 Household Income $150,000-$199,999/Householder Age 35-44",569,172,325,"64,484"
"2026 Household Income $200,000+/Householder Age 35-44",343,100,221,"64,309"
2026 Median Household Income: HHr Age 35-44,"$61,456","$47,446","$59,075","$80,104"
2026 Average Household Income: HHr Age 35-44,"$77,812","$69,594","$79,500","$103,937"
2026 Aggregate Household Income: Householder Age 35-44,"$922,541,951","$235,296,424","$438,202,408","$79,800,695,903"
2026 Households by Income Base: HHr Age 35-44,"11,856","3,381","5,512","767,779"
"2026 Household Income < $15,000/Householder Age 45-54","1,738",637,960,"54,393"
"2026 Household Income $15,000-$24,999/Householder Age 45-54",912,269,435,"38,840"
"2026 Household Income $25,000-$34,999/Householder Age 45-54",853,249,371,"43,055"
"2026 Household Income $35,000-$49,999/Householder Age 45-54","1,478",482,697,"76,241"
"2026 Household Income $50,000-$74,999/Householder Age 45-54","2,087",406,675,"122,247"
"2026 Household Income $75,000-$99,999/Householder Age 45-54","1,490",273,564,"109,293"
"2026 Household Income $100,000-$149,999/Householder Age 45-54","2,293",507,915,"143,527"
"2026 Household Income $150,000-$199,999/Householder Age 45-54",854,278,502,"76,682"
"2026 Household Income $200,000+/Householder Age 45-54",408,113,228,"75,874"
2026 Median Household Income: HHr Age 45-54,"$60,550","$48,756","$56,108","$81,525"
2026 Average Household Income: HHr Age 45-54,"$79,682","$74,596","$80,888","$110,149"
2026 Aggregate Household Income: Householder Age 45-54,"$965,183,739","$239,752,022","$432,506,836","$81,527,367,741"
2026 Households by Income Base: HHr Age 45-54,"12,113","3,214","5,347","740,152"
"2026 Household Income < $15,000/Householder Age 55-64","2,354",831,"1,276","70,963"
"2026 Household Income $15,000-$24,999/Householder Age 55-64","1,264",352,590,"53,482"
"2026 Household Income $25,000-$34,999/Householder Age 55-64","1,028",224,402,"52,364"
"2026 Household Income $35,000-$49,999/Householder Age 55-64","1,726",488,750,"85,736"
"2026 Household Income $50,000-$74,999/Householder Age 55-64","2,510",449,788,"141,802"
"2026 Household Income $75,000-$99,999/Householder Age 55-64","1,615",312,664,"114,760"
"2026 Household Income $100,000-$149,999/Householder Age 55-64","2,276",476,993,"129,430"
"2026 Household Income $150,000-$199,999/Householder Age 55-64",728,223,440,"61,082"
"2026 Household Income $200,000+/Householder Age 55-64",404,129,226,"69,889"
2026 Median Household Income: HHr Age 55-64,"$54,177","$44,238","$51,056","$71,466"
2026 Average Household Income: HHr Age 55-64,"$72,457","$69,265","$74,336","$100,213"
2026 Aggregate Household Income: Householder Age 55-64,"$1,007,515,244","$241,317,835","$455,608,398","$78,116,778,250"
2026 Households by Income Base: HHr Age 55-64,"13,905","3,484","6,129","779,508"
"2026 Household Income < $15,000/Householder Age 65-74","2,274",827,"1,259","66,028"
"2026 Household Income $15,000-$24,999/Householder Age 65-74","1,578",433,706,"69,031"
"2026 Household Income $25,000-$34,999/Householder Age 65-74","1,414",298,611,"70,524"
"2026 Household Income $35,000-$49,999/Householder Age 65-74","2,230",486,918,"111,768"
"2026 Household Income $50,000-$74,999/Householder Age 65-74","2,617",495,846,"145,462"
"2026 Household Income $75,000-$99,999/Householder Age 65-74","1,262",298,546,"93,290"
"2026 Household Income $100,000-$149,999/Householder Age 65-74","1,676",401,800,"100,568"
"2026 Household Income $150,000-$199,999/Householder Age 65-74",442,166,247,"40,504"
"2026 Household Income $200,000+/Householder Age 65-74",325,114,200,"47,494"
2026 Median Household Income: HHr Age 65-74,"$45,024","$40,076","$41,789","$57,181"
2026 Average Household Income: HHr Age 65-74,"$63,166","$63,352","$65,131","$85,026"
2026 Aggregate Household Income: Householder Age 65-74,"$872,822,717","$222,873,451","$399,449,476","$63,315,913,306"
2026 Households by Income Base: HHr Age 65-74,"13,818","3,518","6,133","744,669"
"2026 Household Income < $15,000/Householder Age 75+","2,302",735,"1,162","74,293"
"2026 Household Income $15,000-$24,999/Householder Age 75+","2,453",610,"1,103","106,493"
"2026 Household Income $25,000-$34,999/Householder Age 75+","1,570",369,673,"87,343"
"2026 Household Income $35,000-$49,999/Householder Age 75+","1,542",467,708,"97,660"
"2026 Household Income $50,000-$74,999/Householder Age 75+","1,362",362,486,"86,999"
"2026 Household Income $75,000-$99,999/Householder Age 75+",727,149,284,"51,960"
"2026 Household Income $100,000-$149,999/Householder Age 75+",886,210,355,"49,580"
"2026 Household Income $150,000-$199,999/Householder Age 75+",291,97,177,"21,752"
"2026 Household Income $200,000+/Householder Age 75+",157,56,97,"21,034"
2026 Median Household Income: HHr Age 75+,"$29,909","$29,227","$28,131","$38,615"
2026 Average Household Income: HHr Age 75+,"$49,154","$49,002","$49,625","$63,105"
2026 Aggregate Household Income: Householder Age 75+,"$554,944,271","$149,699,888","$250,359,333","$37,680,960,659"
2026 Households by Income Base: HHr Age 75+,"11,290","3,055","5,045","597,114"
2026 Median Age of Householder,56.1,54.2,55.5,53.3
2026 Households by Income Base: HHr Age 55+,"39,013","10,057","17,307","2,121,291"
2026 Median Household Income: HHr Age 55+,"$42,752","$37,795","$39,434","$55,751"
2026 Average Household Income: HHr Age 55+,"$62,422","$61,041","$63,871","$84,436"
2026 Households by Income Base: HHr Age 65+,"25,108","6,573","11,178","1,341,783"
2026 Median Household Income: HHr Age 65+,"$37,937","$35,162","$35,495","$48,824"
2026 Average Household Income: HHr Age 65+,"$56,865","$56,682","$58,133","$75,271"
2021 Average Household Size,2.50,2.44,2.50,2.48
2021 Average Family Size,3.06,3.06,3.05,3.04
2026 Average Household Size,2.50,2.44,2.50,2.48
2026 Average Family Size,3.07,3.07,3.06,3.05
2019 Family Households,"45,375","11,529","20,365","2,595,395"
2019 Family Households with 2 People,"20,658","5,205","9,129","1,209,692"
2019 Family Households with 3 People,"10,298","2,480","4,707","602,915"
2019 Family Households with 4 People,"8,220","2,309","4,020","475,675"
2019 Family Households with 5 People,"4,173","1,028","1,664","202,648"
2019 Family Households with 6 People,"1,290",330,489,"69,403"
2019 Family Households with 7+ People,736,177,356,"35,062"
2019 Nonfamily Households,"24,019","8,138","11,649","1,370,087"
2019 Nonfamily Households with 1 Person,"20,943","6,829","10,104","1,130,950"
2019 Nonfamily Households with 2 People,"2,582","1,078","1,263","197,864"
2019 Nonfamily Households with 3 People,302,109,151,"27,664"
2019 Nonfamily Households with 4 People,104,55,64,"10,655"
2019 Nonfamily Households with 5 People,84,67,67,"2,055"
2019 Nonfamily Households with 6 People,4,0,0,672
2019 Nonfamily Households with 7+ People,0,0,0,227
2019 Households with Population Age <18,"21,909","5,973","9,940","1,221,998"
2019 HHs w/Pop <18: Family,"21,548","5,836","9,773","1,210,270"
2019 HHs w/Pop <18: Married-couple Family,"10,915","2,453","5,052","775,934"
2019 HHs w/Pop <18: Oth Family w/Male Householder,"1,806",380,732,"101,825"
2019 HHs w/Pop <18: Oth Family w/Female Householder,"8,827","3,003","3,989","332,511"
2019 HHs w/Pop <18: Nonfamily,361,137,167,"11,728"
2019 Households w/No Population Age <18,"47,485","13,694","22,074","2,743,484"
2019 HHs w/No Pop <18: Married-couple Family,"18,051","4,052","8,081","1,128,057"
2019 HHs w/No Pop <18: Other Family,"5,776","1,641","2,511","257,068"
2019 HHs w/No Pop <18: Nonfamily,"23,658","8,001","11,482","1,358,359"
2019 Households w/Population Age 65+,"22,275","5,842","10,182","1,142,659"
2019 Households w/Pop 65+: 1 Person,"9,218","2,771","4,511","429,611"
2019 HHs w/Pop 65+: 2+ Person Family,"12,327","2,734","5,280","682,969"
2019 HHs w/Pop 65+: 2+ Person Nonfamily,730,337,391,"30,079"
2019 Households w/No Population Age 65+,"47,119","13,825","21,832","2,822,823"
2019 Households w/No Pop 65+: 1 Person,"11,725","4,058","5,593","701,339"
2019 Households w/No Pop 65+: 2+ Person Family,"33,048","8,795","15,085","1,912,426"
2019 Households w/No Pop 65+: 2+ Person Nonfamily,"2,346",972,"1,154","209,058"
2021-2026 Median Household Income: Compound Annual Growth Rate,2.61%,1.74%,2.17%,2.27%
2021 Total Households,"73,550","20,248","33,279","4,251,028"
2026 Total Households,"74,965","20,634","33,994","4,493,166"
2021-2026 Households: Compound Annual Growth Rate,0.38%,0.38%,0.43%,1.11%
2021 Owner Occupied Housing Units,"45,135","10,157","19,723","2,809,098"
2021 Renter Occupied Housing Units,"28,415","10,091","13,556","1,441,930"
2021 Vacant Housing Units,"10,483","2,687","4,079","670,123"
2026 Owner Occupied Housing Units,"46,623","10,429","20,345","2,987,153"
2026 Renter Occupied Housing Units,"28,342","10,204","13,649","1,506,013"
2021-2026 Owner Occupied Housing Units: Compound Annual Growth Rate,0.65%,0.53%,0.62%,1.24%
2026 Vacant Housing Units,"11,290","2,866","4,355","722,322"
